"Language","Source Text","Translated Text"
"ar","Customer portal","بوابة المستفيدين"
"ar","Collapse","إخفاء"
"ar","Create New Contact","جهة تواصل جديدة"
"ar","Phone Nos","أرقام التواصل"
"ar","Contacts","جهات الاتصال"
"en","Change photo","تغيير الصورة"
"ar","Upload photo","تعيين صورة"
"en","customer-domain-placeholder","Eg. Dammam Health Network"
"ar","customer-domain-placeholder","مثال: شبكة الدمام الصحية"
"en","customer-name-placeholder","eg. Mohammed"
"ar","customer-name-placeholder","مثال: محمد"
"ar","Customer Name","اسم العميل"
"ar","Add New Customer","إضافة عميل جديد"
"ar","No Customers Found","لم يتم العثور على عملاء"
"ar","Your query has been resolved. Thank you for reaching out.","تم حل المشكلة، شكرا لتواصلك معنا"
"ar","Customer Query Resolved","تم حل المشكلة"
"ar","Create Canned Response","رد جاهز جديد"
"ar","Edit Canned Response","تعديل رد جاهز"
"ar","No Canned Responses Found","لم يتم العثور على ردود جاهزة"
"ar","Canned responses","الردود الجاهزة"
"ar","Canned Responses","الردود الجاهزة"
"ar","No Data Found","لم يتم العثور على بيانات"
"ar","Type a message","اكتب رسالة"
"ar","Ticket details","تفاصيل التذكرة"
"ar","Select an option","حدد أحد الخيارات"
"ar","Type something","اكتب شيئاً"
"ar","Did this article solve your issue?","هل كان هذا المحتوى مفيد؟"
"ar","Create a ticket","أنشئ تذكرة"
"ar","Can’t find what you’re looking for?","لم تجد ما تبحث عنه؟"
"ar","articles","المحتويات"
"ar","Categories","الفئات"
"ar","Ask a question...","ماذا تريد أن تعرف؟"
"ar","Category Title","عنوان الفئة"
"ar","Create Category","إنشاء فئة"
"ar","Write your article here...","أضف المحتوى هنا...."
"ar","New Article","محتوى جديد"
"ar","Article link copied to clipboard","تم نسخ رابط المحتوى"
"ar","Select Category","حدد فئة"
"ar","Move To","نقل"
"ar","Are you sure you want to delete this article?","هل أنت متأكد من رغبتك بحذف هذا المحتوى؟"
"ar","Delete Article","حذف محتوى"
"ar","Delete","حذف"
"ar","Are you sure you want to discard changes?","هل أنت متأكد من أنك تريد تجاهل التغييرات؟"
"ar","Discard changes?","تجاهل التغييرات"
